# 네이버 증권에서 자동 생성된 종목 리스트 (시총 3000억 이상), ETN/ETF/스팩/우선주 제외
009410,태영건설
003620,KG모빌리티
004710,한솔테크닉스
002990,금호건설
460860,동국제강
484870,엠앤씨솔루션
019170,신풍제약
029460,케이씨
001500,현대차증권
161000,애경케미칼
377740,바이오노트
004690,삼천리
145990,삼양사
039130,하나투어
448730,삼성FN리츠
002240,고려제강
009900,명신산업
000070,삼양홀딩스
004700,조광피혁
005250,녹십자홀딩스
010780,아이에스동서
003030,세아제강지주
249420,일동제약
002030,아세아
008060,대덕
034310,NICE
016610,DB증권
003280,흥아해운
072710,농심홀딩스
130660,한전산업
306200,세아제강
403550,쏘카
014830,유니드
271940,일진하이솔루스
001200,유진투자증권
020000,한섬
357120,코람코라이프인프라리츠
003000,부광약품
092230,KPX홀딩스
005420,코스모화학
002810,삼영무역
015360,INVENI
016590,신대양제지
344820,KCC글라스
317400,자이에스앤디
183190,아세아시멘트
001940,KISCO홀딩스
029530,신도리코
008730,율촌화학
194370,제이에스코퍼레이션
126560,현대퓨처넷
031430,신세계인터내셔날
006220,제주은행
092790,넥스틸
950210,프레스티지바이오파마
027410,BGF
060980,HL홀딩스
0120G0,삼양바이오팜
007690,국도화학
089590,제주항공
105630,한세실업
104700,한국철강
011760,현대코퍼레이션
003350,한국화장품제조
217590,티엠씨
170900,동아에스티
005610,삼립
011930,신성이엔지
015860,일진홀딩스
017810,풀무원
001230,동국홀딩스
002310,아세아제지
012030,DB
024720,콜마홀딩스
145720,덴티움
009290,광동제약
096760,JW홀딩스
097520,엠씨넥스
010820,퍼스텍
000430,대원강업
002020,코오롱
020120,키다리스튜디오
381970,케이카
010580,에스엠벡셀
009160,SIMPAC
126720,수산인더스트리
025860,남해화학
002710,TCC스틸
272450,진에어
196170,알테오젠
086520,에코프로
247540,에코프로비엠
036930,주성엔지니어링
277810,레인보우로보틱스
240810,원익IPS
039030,이오테크닉스
058470,리노공업
222800,심텍
403870,HPSP
108490,로보티즈
028300,HLB
095340,ISC
319660,피에스케이
000250,삼천당제약
087010,펩트론
031980,피에스케이홀딩스
214450,파마리서치
440110,파두
084370,유진테크
141080,리가켐바이오
298380,에이비엘바이오
064760,티씨케이
067310,하나마이크론
131290,티에스이
095610,테스
310210,보로노이
010170,대한광통신
257720,실리콘투
357780,솔브레인
145020,휴젤
080220,제주반도체
140410,메지온
226950,올릭스
319400,현대무벡스
032820,우리기술
058610,에스피지
263750,펄어비스
005290,동진쎄미켐
214370,케어젠
178320,서진시스템
030530,원익홀딩스
347850,디앤디파마텍
043260,성호전자
214150,클래시스
098460,고영
041510,에스엠
083650,비에이치아이
237690,에스티팜
131970,두산테스나
140860,파크시스템스
089030,테크윙
437730,삼현
068760,셀트리온제약
036540,SFA반도체
060370,LS마린솔루션
183300,코미코
007390,네이처셀
218410,RFHIC
096530,씨젠
204270,제이앤티씨
089970,브이엠
0009K0,에임드바이오
241710,코스메카코리아
078600,대주전자재료
420770,기가비스
323280,태성
039200,오스코텍
035900,JYP Ent.
082920,비츠로셀
950160,코오롱티슈진
127120,제이에스링크
290650,엘앤씨바이오
003380,하림지주
347700,스피어
232140,와이씨
166090,하나머티리얼즈
195940,HK이노엔
252990,샘씨엔에스
950260,인제니아테라퓨틱스(Reg.S)
056190,SFA
086450,동국제약
293490,카카오게임즈
458870,씨어스
417200,LS머트리얼즈
101490,에스앤에스텍
160190,하이젠알앤엠
356860,티엘비
100790,미래에셋벤처투자
083450,GST
327260,RF머트리얼즈
014620,성광벤드
119850,지엔씨에너지
035760,CJ ENM
065350,신성델타테크
115180,큐리언트
031330,에스에이엠티
099320,쎄트렉아이
036830,솔브레인홀딩스
445680,큐리옥스바이오시스템즈
388720,유일로보틱스
122870,와이지엔터테인먼트
032500,케이엠더블유
388210,씨엠티엑스
090710,휴림로봇
328130,루닛
041830,인바디
032190,다우데이타
053800,안랩
044490,태웅
074600,원익QnC
090360,로보스타
033100,제룡전기
161580,필옵틱스
085660,차바이오텍
295310,에이치브이엠
491000,리브스메드
476830,알지노믹스
251970,펌텍코리아
189300,인텔리안테크
041960,코미팜
213420,덕산네오룩스
466100,클로봇
038500,삼표시멘트
225570,넥슨게임즈
425420,티에프이
023160,태광
006730,서부T&D
171090,선익시스템
281740,레이크머티리얼즈
124500,아이티센글로벌
122640,예스티
137400,피엔티
048410,현대바이오
476060,온코닉테라퓨틱스
093320,케이아이엔엑스
059090,미코
036810,에프에스티
064290,인텍플러스
033790,피노
033640,네패스
121600,나노신소재
253450,스튜디오드래곤
053610,프로텍
102710,이엔에프테크놀로지
358570,지아이이노베이션
222080,SFA넥셀
126340,비나텍
046890,서울반도체
094170,동운아나텍
475830,오름테라퓨틱
253590,네오셈
050890,쏠리드
077360,덕산하이메탈
079940,가비아
045100,한양이엔지
052400,코나아이
060250,NHN KCP
144960,뉴파워프라즈마
456160,지투지바이오
490470,세미파이브
009520,포스코엠텍
052020,에스티큐브
399720,가온칩스
376900,로킷헬스케어
112040,위메이드
101160,월덱스
397030,에이프릴바이오
025980,아난티
211050,인카금융서비스
356680,엑스게이트
092870,엑시콘
037460,삼지전자
086900,메디톡스
033500,동성화인텍
056080,유진로봇
027360,아주IB투자
080580,오킨스전자
082270,젬백스
214430,아이쓰리시스템
098120,마이크로컨텍솔
035890,서희건설
219130,타이거일렉
386380,스카이랩스
015750,성우하이텍
019210,와이지-원
099190,아이센스
041190,우리기술투자
034950,한국기업평가
460930,현대힘스
024850,HLB이노베이션
348340,뉴로메카
069540,빛과전자
383310,에코프로에이치엔
125490,한라캐스트
089890,코세스
340570,티앤엘
365340,성일하이텍
348370,엔켐
104830,원익머트리얼즈
104830,원익머트리얼즈
368770,파이버프로
278280,천보
336570,원텍
013030,하이록코리아
468530,프로티나
332570,PS일렉트로닉스
290550,디케이티
078350,한양디지텍
067160,SOOP
078340,컴투스
272290,이녹스첨단소재
101730,위메이드맥스
204620,글로벌텍스프리
187660,페니트리움바이오
376300,디어유
241770,메카로
030520,한컴
018290,브이티
174900,앱클론
078130,국일제지
089010,켐트로닉스
092190,서울바이오시스
114810,한솔아이원스
095660,네오위즈
439960,코스모로보틱스
092730,네오팜
215200,메가스터디교육
486990,노타
170920,엘티씨
107640,한중엔시에스
477850,마키나락스
042000,카페24
475960,토모큐브
006910,보성파워텍
078020,LS증권
033160,엠케이전자
441270,파인엠텍
018000,유니슨
003800,에이스침대
236200,슈프리마
200710,에이디테크놀로지
078160,메디포스트
079370,제우스
036800,나이스정보통신
025320,시노펙스
200470,에이팩트
393890,더블유씨피
046970,우리로
348210,넥스틴
448900,한국피아이엠
121440,골프존홀딩스
069080,웹젠
389470,인벤티지랩
025900,동화기업
417840,저스템
900290,GRT
330860,네패스아크
036620,감성코퍼레이션
138080,오이솔루션
064260,다날
455900,엔젤로보틱스
110990,디아이티
060280,큐렉소
039440,에스티아이
093520,매커스
067630,HLB생명과학
372320,큐로셀
168360,펨트론
052710,아모텍
488900,비츠로넥스텍
452430,사피엔반도체
206650,유바이오로직스
215600,신라젠
456010,아이씨티케이
061970,LB세미콘
025770,한국정보통신
159010,아스플로
424870,이뮨온시아
482630,삼양엔씨켐
117730,티로보틱스
352480,씨앤씨인터내셔널
